naics,industry,role,bucket_order,receipts_band_usd_000,firms,establishments,employment,payroll_usd_000,receipts_usd_000
238390,Other building finishing contractors (CONTEXT ONLY — not blinds-specific),context_only,18,"100,000+",26,155,8332,669181,2162479
321911,Wood window and door manufacturing,adjacent_mtm,01,Total,920,1093,62010,3484625,19129790
321911,Wood window and door manufacturing,adjacent_mtm,02,<100,47,47,45,544,2892
321911,Wood window and door manufacturing,adjacent_mtm,03,100-499,192,192,491,16293,57405
321911,Wood window and door manufacturing,adjacent_mtm,04,500-999,123,123,727,28096,87311
321911,Wood window and door manufacturing,adjacent_mtm,05,"1,000-2,499",200,200,2021,86750,326405
321911,Wood window and door manufacturing,adjacent_mtm,06,"2,500-4,999",121,122,2433,121717,427221
321911,Wood window and door manufacturing,adjacent_mtm,07,"5,000-7,499",55,55,1502,73547,324133
321911,Wood window and door manufacturing,adjacent_mtm,08,"7,500-9,999",24,25,907,48876,204804
321911,Wood window and door manufacturing,adjacent_mtm,09,"10,000-14,999",34,36,1768,85084,402672
321911,Wood window and door manufacturing,adjacent_mtm,10,"15,000-19,999",18,19,1139,63270,287035
321911,Wood window and door manufacturing,adjacent_mtm,11,"20,000-24,999",8,9,513,32413,142126
321911,Wood window and door manufacturing,adjacent_mtm,12,"25,000-29,999",8,9,649,38107,188427
321911,Wood window and door manufacturing,adjacent_mtm,13,"30,000-34,999",6,6,634,33284,167343
321911,Wood window and door manufacturing,adjacent_mtm,14,"35,000-39,999",6,6,673,30192,165622
321911,Wood window and door manufacturing,adjacent_mtm,15,"40,000-49,999",8,17,723,50077,298089
321911,Wood window and door manufacturing,adjacent_mtm,16,"50,000-74,999",7,8,537,28643,219846
321911,Wood window and door manufacturing,adjacent_mtm,17,"75,000-99,999",4,4,589,31823,149269
321911,Wood window and door manufacturing,adjacent_mtm,18,"100,000+",59,215,46659,2715909,15679190
327991,Cut stone and stone product manufacturing,adjacent_mtm,01,Total,2031,2134,36565,2047006,7995598
327991,Cut stone and stone product manufacturing,adjacent_mtm,02,<100,157,157,159,2260,8748
327991,Cut stone and stone product manufacturing,adjacent_mtm,03,100-499,414,414,1142,41475,112206
327991,Cut stone and stone product manufacturing,adjacent_mtm,04,500-999,296,296,1603,67614,218010
327991,Cut stone and stone product manufacturing,adjacent_mtm,05,"1,000-2,499",518,528,4887,229175,830343
327991,Cut stone and stone product manufacturing,adjacent_mtm,06,"2,500-4,999",294,296,5258,274898,1001978
327991,Cut stone and stone product manufacturing,adjacent_mtm,07,"5,000-7,499",115,127,3054,165459,644857
327991,Cut stone and stone product manufacturing,adjacent_mtm,08,"7,500-9,999",53,57,2214,118026,440973
327991,Cut stone and stone product manufacturing,adjacent_mtm,09,"10,000-14,999",66,70,3134,176732,706253
327991,Cut stone and stone product manufacturing,adjacent_mtm,10,"15,000-19,999",27,29,1598,100198,413748
327991,Cut stone and stone product manufacturing,adjacent_mtm,11,"20,000-24,999",14,16,783,44190,234442
327991,Cut stone and stone product manufacturing,adjacent_mtm,12,"25,000-29,999",15,22,1527,90608,383960
327991,Cut stone and stone product manufacturing,adjacent_mtm,13,"30,000-34,999",8,10,807,45140,211519
327991,Cut stone and stone product manufacturing,adjacent_mtm,14,"35,000-39,999",5,6,581,28458,150046
327991,Cut stone and stone product manufacturing,adjacent_mtm,15,"40,000-49,999",9,14,1084,75745,215106
327991,Cut stone and stone product manufacturing,adjacent_mtm,16,"50,000-74,999",6,8,636,28833,168560
327991,Cut stone and stone product manufacturing,adjacent_mtm,17,"75,000-99,999",4,10,357,17783,120895
327991,Cut stone and stone product manufacturing,adjacent_mtm,18,"100,000+",30,74,7741,540412,2133954
