shop,category,lifetime_sales,on_etsy_since,card_review_count,sales_per_review,years_active,est_sales_per_year,card_price_usd,est_gmv_per_year_usd
GiftsToEngrave,personalized cutting board,159512,2022,42200,3.8,4.2,37979,12.99,493347
Crossmetalworks,metal wall art / metal business sign,143494,2014,38400,3.7,12.2,11762,15.0,176430
Makertable,modern house numbers,112876,2017,27500,4.1,9.2,12269,16.57,203297
SHANIKStore,wood desk organizer / wooden jewelry box,75491,2020,15300,4.9,6.2,12176,79.99,973958
RustyDesignCanada,steel table legs,47358,2016,7500,6.3,10.2,4643,110.23,511798
Oakywood,wood monitor stand / desk,46376,2016,8500,5.5,10.2,4547,126.33,574423
KeelanScott,wood monitor stand / steel table legs,27308,2019,7400,3.7,7.2,3793,119.99,455122
