naics,kind_of_business,year,month,period,sales_musd,seasonally_adjusted
442,Furniture and home furnishings stores,2000,4,2000-04,6944.0,False
442,Furniture and home furnishings stores,2000,5,2000-05,7432.0,False
442,Furniture and home furnishings stores,2000,6,2000-06,7287.0,False
442,Furniture and home furnishings stores,2000,7,2000-07,7310.0,False
442,Furniture and home furnishings stores,2000,8,2000-08,7761.0,False
442,Furniture and home furnishings stores,2000,9,2000-09,7337.0,False
442,Furniture and home furnishings stores,2000,10,2000-10,7461.0,False
442,Furniture and home furnishings stores,2000,11,2000-11,8125.0,False
442,Furniture and home furnishings stores,2000,12,2000-12,8411.0,False
442,Furniture and home furnishings stores,2001,1,2001-01,6866.0,False
442,Furniture and home furnishings stores,2001,2,2001-02,6619.0,False
442,Furniture and home furnishings stores,2001,3,2001-03,7372.0,False
442,Furniture and home furnishings stores,2001,4,2001-04,6753.0,False
442,Furniture and home furnishings stores,2001,5,2001-05,7351.0,False
442,Furniture and home furnishings stores,2001,6,2001-06,7291.0,False
442,Furniture and home furnishings stores,2001,7,2001-07,7259.0,False
442,Furniture and home furnishings stores,2001,8,2001-08,7757.0,False
442,Furniture and home furnishings stores,2001,9,2001-09,6888.0,False
442,Furniture and home furnishings stores,2001,10,2001-10,7399.0,False
442,Furniture and home furnishings stores,2001,11,2001-11,8320.0,False
442,Furniture and home furnishings stores,2001,12,2001-12,9178.0,False
442,Furniture and home furnishings stores,2002,1,2002-01,6956.0,False
442,Furniture and home furnishings stores,2002,2,2002-02,6900.0,False
442,Furniture and home furnishings stores,2002,3,2002-03,7566.0,False
442,Furniture and home furnishings stores,2002,4,2002-04,7167.0,False
442,Furniture and home furnishings stores,2002,5,2002-05,7770.0,False
442,Furniture and home furnishings stores,2002,6,2002-06,7293.0,False
442,Furniture and home furnishings stores,2002,7,2002-07,7455.0,False
442,Furniture and home furnishings stores,2002,8,2002-08,7974.0,False
442,Furniture and home furnishings stores,2002,9,2002-09,7247.0,False
442,Furniture and home furnishings stores,2002,10,2002-10,7637.0,False
442,Furniture and home furnishings stores,2002,11,2002-11,8589.0,False
442,Furniture and home furnishings stores,2002,12,2002-12,9261.0,False
442,Furniture and home furnishings stores,2003,1,2003-01,6984.0,False
442,Furniture and home furnishings stores,2003,2,2003-02,6523.0,False
442,Furniture and home furnishings stores,2003,3,2003-03,7400.0,False
442,Furniture and home furnishings stores,2003,4,2003-04,7158.0,False
442,Furniture and home furnishings stores,2003,5,2003-05,7843.0,False
442,Furniture and home furnishings stores,2003,6,2003-06,7526.0,False
442,Furniture and home furnishings stores,2003,7,2003-07,7838.0,False
442,Furniture and home furnishings stores,2003,8,2003-08,8143.0,False
442,Furniture and home furnishings stores,2003,9,2003-09,7786.0,False
442,Furniture and home furnishings stores,2003,10,2003-10,8111.0,False
442,Furniture and home furnishings stores,2003,11,2003-11,8761.0,False
442,Furniture and home furnishings stores,2003,12,2003-12,9882.0,False
442,Furniture and home furnishings stores,2004,1,2004-01,7437.0,False
442,Furniture and home furnishings stores,2004,2,2004-02,7400.0,False
442,Furniture and home furnishings stores,2004,3,2004-03,8259.0,False
442,Furniture and home furnishings stores,2004,4,2004-04,7765.0,False
442,Furniture and home furnishings stores,2004,5,2004-05,7886.0,False
442,Furniture and home furnishings stores,2004,6,2004-06,8209.0,False
442,Furniture and home furnishings stores,2004,7,2004-07,8649.0,False
442,Furniture and home furnishings stores,2004,8,2004-08,8639.0,False
442,Furniture and home furnishings stores,2004,9,2004-09,8211.0,False
442,Furniture and home furnishings stores,2004,10,2004-10,8479.0,False
442,Furniture and home furnishings stores,2004,11,2004-11,9336.0,False
442,Furniture and home furnishings stores,2004,12,2004-12,10625.0,False
442,Furniture and home furnishings stores,2005,1,2005-01,7696.0,False
442,Furniture and home furnishings stores,2005,2,2005-02,7762.0,False
442,Furniture and home furnishings stores,2005,3,2005-03,8550.0,False
442,Furniture and home furnishings stores,2005,4,2005-04,8190.0,False
442,Furniture and home furnishings stores,2005,5,2005-05,8415.0,False
442,Furniture and home furnishings stores,2005,6,2005-06,8723.0,False
442,Furniture and home furnishings stores,2005,7,2005-07,8718.0,False
442,Furniture and home furnishings stores,2005,8,2005-08,9350.0,False
442,Furniture and home furnishings stores,2005,9,2005-09,8974.0,False
442,Furniture and home furnishings stores,2005,10,2005-10,8870.0,False
442,Furniture and home furnishings stores,2005,11,2005-11,9965.0,False
442,Furniture and home furnishings stores,2005,12,2005-12,11008.0,False
442,Furniture and home furnishings stores,2006,1,2006-01,8381.0,False
442,Furniture and home furnishings stores,2006,2,2006-02,8248.0,False
442,Furniture and home furnishings stores,2006,3,2006-03,9178.0,False
442,Furniture and home furnishings stores,2006,4,2006-04,8346.0,False
442,Furniture and home furnishings stores,2006,5,2006-05,8980.0,False
442,Furniture and home furnishings stores,2006,6,2006-06,9212.0,False
442,Furniture and home furnishings stores,2006,7,2006-07,9018.0,False
442,Furniture and home furnishings stores,2006,8,2006-08,9695.0,False
442,Furniture and home furnishings stores,2006,9,2006-09,9278.0,False
442,Furniture and home furnishings stores,2006,10,2006-10,8953.0,False
442,Furniture and home furnishings stores,2006,11,2006-11,9941.0,False
442,Furniture and home furnishings stores,2006,12,2006-12,10782.0,False
442,Furniture and home furnishings stores,2007,1,2007-01,8588.0,False
442,Furniture and home furnishings stores,2007,2,2007-02,8220.0,False
442,Furniture and home furnishings stores,2007,3,2007-03,9183.0,False
