keyword,batch,geo_name,geo_code,index
dining table,1,Monterey-Salinas CA,828,96
custom furniture,1,Monterey-Salinas CA,828,4
handmade dining table,1,Monterey-Salinas CA,828,0
reclaimed wood dining table,1,Monterey-Salinas CA,828,0
custom wood desk,1,Monterey-Salinas CA,828,0
dining table,1,Bakersfield CA,800,98
custom furniture,1,Bakersfield CA,800,2
handmade dining table,1,Bakersfield CA,800,0
reclaimed wood dining table,1,Bakersfield CA,800,0
custom wood desk,1,Bakersfield CA,800,0
dining table,1,Yuma AZ-El Centro CA,771,98
custom furniture,1,Yuma AZ-El Centro CA,771,2
handmade dining table,1,Yuma AZ-El Centro CA,771,0
reclaimed wood dining table,1,Yuma AZ-El Centro CA,771,0
custom wood desk,1,Yuma AZ-El Centro CA,771,0
dining table,1,Chico-Redding CA,868,97
custom furniture,1,Chico-Redding CA,868,3
handmade dining table,1,Chico-Redding CA,868,0
reclaimed wood dining table,1,Chico-Redding CA,868,0
custom wood desk,1,Chico-Redding CA,868,0
dining table,1,Medford-Klamath Falls OR,813,95
custom furniture,1,Medford-Klamath Falls OR,813,5
handmade dining table,1,Medford-Klamath Falls OR,813,0
reclaimed wood dining table,1,Medford-Klamath Falls OR,813,0
custom wood desk,1,Medford-Klamath Falls OR,813,0
dining table,1,Eureka CA,802,96
custom furniture,1,Eureka CA,802,4
handmade dining table,1,Eureka CA,802,0
reclaimed wood dining table,1,Eureka CA,802,0
custom wood desk,1,Eureka CA,802,0
dining table,2,Palm Springs CA,804,97
made to order furniture,2,Palm Springs CA,804,0
white oak dining table,2,Palm Springs CA,804,0
farmhouse dining table,2,Palm Springs CA,804,1
extendable dining table,2,Palm Springs CA,804,2
dining table,2,San Francisco-Oakland-San Jose CA,807,93
made to order furniture,2,San Francisco-Oakland-San Jose CA,807,0
white oak dining table,2,San Francisco-Oakland-San Jose CA,807,0
farmhouse dining table,2,San Francisco-Oakland-San Jose CA,807,1
extendable dining table,2,San Francisco-Oakland-San Jose CA,807,6
dining table,2,San Diego CA,825,95
made to order furniture,2,San Diego CA,825,0
white oak dining table,2,San Diego CA,825,0
farmhouse dining table,2,San Diego CA,825,2
extendable dining table,2,San Diego CA,825,3
dining table,2,Los Angeles CA,803,94
made to order furniture,2,Los Angeles CA,803,0
white oak dining table,2,Los Angeles CA,803,0
farmhouse dining table,2,Los Angeles CA,803,2
extendable dining table,2,Los Angeles CA,803,4
dining table,2,Sacramento-Stockton-Modesto CA,862,94
made to order furniture,2,Sacramento-Stockton-Modesto CA,862,0
white oak dining table,2,Sacramento-Stockton-Modesto CA,862,0
farmhouse dining table,2,Sacramento-Stockton-Modesto CA,862,3
extendable dining table,2,Sacramento-Stockton-Modesto CA,862,3
dining table,2,Santa Barbara-Santa Maria-San Luis Obispo CA,855,94
made to order furniture,2,Santa Barbara-Santa Maria-San Luis Obispo CA,855,0
white oak dining table,2,Santa Barbara-Santa Maria-San Luis Obispo CA,855,0
farmhouse dining table,2,Santa Barbara-Santa Maria-San Luis Obispo CA,855,2
extendable dining table,2,Santa Barbara-Santa Maria-San Luis Obispo CA,855,4
dining table,2,Reno NV,811,94
made to order furniture,2,Reno NV,811,0
white oak dining table,2,Reno NV,811,0
farmhouse dining table,2,Reno NV,811,3
