hs_code,hs_label,year,partner_code,partner,value_usd,net_weight_kg,is_aggregate
940330,Wooden furniture — office,2019,490,"Other Asia, nes",15531399.0,4270807.253,False
940330,Wooden furniture — office,2020,620,Portugal,13075837.0,3582526.685,False
940330,Wooden furniture — office,2020,484,Mexico,34515008.0,9456445.289,False
940330,Wooden furniture — office,2020,218,Ecuador,11027.0,3021.185,False
940330,Wooden furniture — office,2020,705,Slovenia,22001.0,6027.849,False
940330,Wooden furniture — office,2020,70,Bosnia Herzegovina,1488.0,407.683,False
940330,Wooden furniture — office,2020,360,Indonesia,3888699.0,1065428.388,False
940330,Wooden furniture — office,2020,36,Australia,291188.0,79779.886,False
940330,Wooden furniture — office,2020,4,Afghanistan,1528.0,418.642,False
940330,Wooden furniture — office,2020,616,Poland,13503179.0,3699610.136,False
940330,Wooden furniture — office,2020,490,"Other Asia, nes",22184711.0,6078182.158,False
940330,Wooden furniture — office,2020,724,Spain,1142804.0,313106.215,False
940330,Wooden furniture — office,2020,100,Bulgaria,86081.0,23584.531,False
940330,Wooden furniture — office,2020,504,Morocco,6740.0,1846.63,False
940330,Wooden furniture — office,2020,191,Croatia,5960.0,1632.925,False
940330,Wooden furniture — office,2020,40,Austria,91081.0,24954.434,False
940330,Wooden furniture — office,2020,604,Peru,800.0,219.185,False
940330,Wooden furniture — office,2020,699,India,2155787.0,590643.984,False
940330,Wooden furniture — office,2020,392,Japan,106171.0,29088.803,False
940330,Wooden furniture — office,2020,643,Russian Federation,1573.0,430.972,False
940330,Wooden furniture — office,2020,76,Brazil,2285298.0,626127.495,False
940330,Wooden furniture — office,2020,458,Malaysia,34184606.0,9365921.525,False
940330,Wooden furniture — office,2020,233,Estonia,475959.0,130403.569,False
940330,Wooden furniture — office,2020,170,Colombia,3480336.0,953544.816,False
940330,Wooden furniture — office,2020,554,New Zealand,5936.0,1626.349,False
940330,Wooden furniture — office,2020,0,World,882964899.0,241915321.564,True
940330,Wooden furniture — office,2020,376,Israel,617096.0,169072.38,False
940330,Wooden furniture — office,2020,380,Italy,16837204.0,4613068.565,False
940330,Wooden furniture — office,2020,124,Canada,332381528.0,91066116.353,False
940330,Wooden furniture — office,2020,422,Lebanon,112160.0,30729.673,False
940330,Wooden furniture — office,2020,410,Rep. of Korea,3187032.0,873185.188,False
940330,Wooden furniture — office,2020,344,"China, Hong Kong SAR",361502.0,99044.563,False
940330,Wooden furniture — office,2020,757,Switzerland,513600.0,140716.476,False
940330,Wooden furniture — office,2020,748,Eswatini,67055.0,18371.774,False
940330,Wooden furniture — office,2020,84,Belize,10067.0,2758.163,False
940330,Wooden furniture — office,2020,300,Greece,2954.0,809.339,False
940330,Wooden furniture — office,2020,608,Philippines,175782.0,48160.872,False
940330,Wooden furniture — office,2020,320,Guatemala,6565.0,1798.683,False
940330,Wooden furniture — office,2020,214,Dominican Rep.,8576.0,2349.658,False
940330,Wooden furniture — office,2020,792,Türkiye,1345958.0,368766.485,False
940330,Wooden furniture — office,2020,642,Romania,5383.0,1474.838,False
940330,Wooden furniture — office,2020,764,Thailand,6751676.0,1849828.767,False
940330,Wooden furniture — office,2020,688,Serbia,11410.0,3126.12,False
940330,Wooden furniture — office,2020,428,Latvia,220470.0,60404.52,False
940330,Wooden furniture — office,2020,591,Panama,7727.0,2117.049,False
940330,Wooden furniture — office,2020,818,Egypt,21700.0,5945.381,False
940330,Wooden furniture — office,2020,203,Czechia,670555.0,183719.113,False
940330,Wooden furniture — office,2020,340,Honduras,8286.0,2270.204,False
940330,Wooden furniture — office,2020,752,Sweden,1188372.0,325590.966,False
940330,Wooden furniture — office,2020,440,Lithuania,25342075.0,6943238.887,False
940330,Wooden furniture — office,2020,156,China,221910449.0,60799175.244,False
940330,Wooden furniture — office,2020,348,Hungary,59280.0,16241.575,False
940330,Wooden furniture — office,2020,760,Syria,1363.0,373.436,False
940330,Wooden furniture — office,2020,104,Myanmar,8811.0,2414.044,False
940330,Wooden furniture — office,2020,188,Costa Rica,1093.0,299.461,False
940330,Wooden furniture — office,2020,703,Slovakia,2274741.0,623235.081,False
940330,Wooden furniture — office,2020,528,Netherlands,411856.0,112840.586,False
940330,Wooden furniture — office,2020,56,Belgium,214187.0,58683.099,False
940330,Wooden furniture — office,2020,710,South Africa,143246.0,39246.636,False
940330,Wooden furniture — office,2020,251,France,1337694.0,366502.309,False
940330,Wooden furniture — office,2020,784,United Arab Emirates,48820.0,13375.737,False
940330,Wooden furniture — office,2020,704,Viet Nam,78894692.0,21615621.195,False
940330,Wooden furniture — office,2020,112,Belarus,11830.0,3241.191,False
940330,Wooden furniture — office,2020,32,Argentina,24101.0,6603.208,False
940330,Wooden furniture — office,2020,208,Denmark,6314688.0,1730102.499,False
940330,Wooden furniture — office,2020,68,Bolivia (Plurinational State of),6000.0,1643.884,False
940330,Wooden furniture — office,2020,276,Germany,21175463.0,5801667.707,False
940330,Wooden furniture — office,2020,400,Jordan,6440.0,1764.436,False
940330,Wooden furniture — office,2020,579,Norway,16787.0,4599.314,False
940330,Wooden furniture — office,2020,804,Ukraine,33268.0,9114.789,False
940330,Wooden furniture — office,2020,558,Nicaragua,518.0,141.922,False
940330,Wooden furniture — office,2020,586,Pakistan,610.0,167.128,False
940330,Wooden furniture — office,2020,826,United Kingdom,7148668.0,1958596.905,False
940330,Wooden furniture — office,2020,116,Cambodia,456967.0,125200.128,False
940330,Wooden furniture — office,2020,246,Finland,21084796.0,5776826.701,False
940330,Wooden furniture — office,2021,0,World,954488456.0,251326091.814,True
940330,Wooden furniture — office,2021,410,Rep. of Korea,2489660.0,655551.687,False
940330,Wooden furniture — office,2021,36,Australia,182394.0,48026.114,False
940330,Wooden furniture — office,2021,682,Saudi Arabia,4248.0,1118.54,False
940330,Wooden furniture — office,2021,591,Panama,356.0,93.738,False
940330,Wooden furniture — office,2021,32,Argentina,29961.0,7889.023,False
940330,Wooden furniture — office,2021,246,Finland,12949825.0,3409814.845,False
940330,Wooden furniture — office,2021,40,Austria,130861.0,34456.974,False
940330,Wooden furniture — office,2021,70,Bosnia Herzegovina,143231.0,37714.115,False
940330,Wooden furniture — office,2021,440,Lithuania,39900269.0,10506128.814,False
940330,Wooden furniture — office,2021,826,United Kingdom,10856548.0,2858634.656,False
940330,Wooden furniture — office,2021,757,Switzerland,1263573.0,332711.058,False
940330,Wooden furniture — office,2021,170,Colombia,3335563.0,878286.173,False
940330,Wooden furniture — office,2021,214,Dominican Rep.,1349.0,355.205,False
940330,Wooden furniture — office,2021,710,South Africa,643633.0,169474.828,False
940330,Wooden furniture — office,2021,251,France,1695440.0,446425.838,False
940330,Wooden furniture — office,2021,156,China,248473747.0,65425553.719,False
940330,Wooden furniture — office,2021,504,Morocco,24084.0,6341.551,False
940330,Wooden furniture — office,2021,604,Peru,1919.0,505.291,False
940330,Wooden furniture — office,2021,558,Nicaragua,96967.0,25532.354,False
940330,Wooden furniture — office,2021,51,Armenia,1219.0,320.975,False
940330,Wooden furniture — office,2021,208,Denmark,4798462.0,1263481.704,False
940330,Wooden furniture — office,2021,100,Bulgaria,138503.0,36469.187,False
940330,Wooden furniture — office,2021,266,Gabon,2338.0,615.618,False
940330,Wooden furniture — office,2021,380,Italy,15259620.0,4018006.329,False
940330,Wooden furniture — office,2021,76,Brazil,3040080.0,800482.625,False
940330,Wooden furniture — office,2021,528,Netherlands,725233.0,190960.901,False
940330,Wooden furniture — office,2021,372,Ireland,608219.0,160149.977,False
940330,Wooden furniture — office,2021,422,Lebanon,58997.0,15534.484,False
940330,Wooden furniture — office,2021,56,Belgium,220624.0,58092.445,False
940330,Wooden furniture — office,2021,442,Luxembourg,1515.0,398.914,False
940330,Wooden furniture — office,2021,699,India,4624347.0,1217635.532,False
940330,Wooden furniture — office,2021,579,Norway,1190.0,313.339,False
940330,Wooden furniture — office,2021,858,Uruguay,12215.0,3216.328,False
940330,Wooden furniture — office,2021,276,Germany,20865898.0,5494193.841,False
940330,Wooden furniture — office,2021,348,Hungary,148901.0,39207.081,False
940330,Wooden furniture — office,2021,818,Egypt,53998.0,14218.198,False
